t_over_T,t,mx,norm
2.524999999999999911e+00,1.586504290062845435e+01,-5.474271997809410095e-02,1.000000000000000000e+00
2.533333333333333215e+00,1.591740277818828453e+01,-8.140771836042404175e-02,9.999999403953552246e-01
2.541666666666666519e+00,1.596976265574811471e+01,-1.080215722322463989e-01,9.999999403953552246e-01
2.549999999999999822e+00,1.602212253330794312e+01,-1.345649212598800659e-01,1.000000000000000000e+00
2.558333333333333126e+00,1.607448241086777330e+01,-1.610186100006103516e-01,1.000000000000000000e+00
2.566666666666666430e+00,1.612684228842760348e+01,-1.873634904623031616e-01,9.999999403953552246e-01
2.574999999999999734e+00,1.617920216598743366e+01,-2.135805636644363403e-01,1.000000000000000000e+00
2.583333333333333037e+00,1.623156204354726384e+01,-2.396510094404220581e-01,1.000000000000000000e+00
2.591666666666666785e+00,1.628392192110709402e+01,-2.655561566352844238e-01,1.000000000000000000e+00
2.600000000000000089e+00,1.633628179866692420e+01,-2.912774682044982910e-01,9.999999403953552246e-01
2.608333333333333393e+00,1.638864167622675438e+01,-3.167966902256011963e-01,9.999999403953552246e-01
2.616666666666666696e+00,1.644100155378658457e+01,-3.420957028865814209e-01,1.000000000000000000e+00
2.625000000000000000e+00,1.649336143134641475e+01,-3.671567440032958984e-01,1.000000000000000000e+00
2.633333333333332860e+00,1.654572130890624138e+01,-3.919622302055358887e-01,1.000000000000000000e+00
2.641666666666666163e+00,1.659808118646607156e+01,-4.164949357509613037e-01,1.000000119209289551e+00
2.649999999999999911e+00,1.665044106402590174e+01,-4.407379627227783203e-01,9.999999403953552246e-01
2.658333333333333215e+00,1.670280094158573192e+01,-4.646746814250946045e-01,9.999999403953552246e-01
2.666666666666666519e+00,1.675516081914556210e+01,-4.882889688014984131e-01,9.999999403953552246e-01
2.674999999999999822e+00,1.680752069670539228e+01,-5.115651488304138184e-01,1.000000119209289551e+00
2.683333333333333126e+00,1.685988057426522246e+01,-5.344877243041992188e-01,1.000000000000000000e+00
2.691666666666666430e+00,1.691224045182505265e+01,-5.570421218872070312e-01,1.000000000000000000e+00
2.700000000000000178e+00,1.696460032938488283e+01,-5.792140960693359375e-01,1.000000000000000000e+00
2.708333333333333481e+00,1.701696020694471301e+01,-6.009901165962219238e-01,1.000000000000000000e+00
2.716666666666666785e+00,1.706932008450454319e+01,-6.223573088645935059e-01,1.000000119209289551e+00
2.725000000000000089e+00,1.712167996206437337e+01,-6.433038115501403809e-01,9.999999403953552246e-01
2.733333333333332948e+00,1.717403983962420000e+01,-6.638182997703552246e-01,1.000000119209289551e+00
2.741666666666666252e+00,1.722639971718403018e+01,-6.838912367820739746e-01,9.999998807907104492e-01
2.749999999999999556e+00,1.727875959474386036e+01,-7.035138607025146484e-01,1.000000000000000000e+00
2.758333333333333304e+00,1.733111947230369054e+01,-7.226790785789489746e-01,9.999999403953552246e-01
2.766666666666666607e+00,1.738347934986352072e+01,-7.413816452026367188e-01,1.000000000000000000e+00
2.774999999999999911e+00,1.743583922742335091e+01,-7.596189379692077637e-01,1.000000000000000000e+00
2.783333333333333215e+00,1.748819910498318109e+01,-7.773901820182800293e-01,1.000000000000000000e+00
2.791666666666666519e+00,1.754055898254301127e+01,-7.946984171867370605e-01,1.000000000000000000e+00
2.799999999999999822e+00,1.759291886010284145e+01,-8.115487098693847656e-01,1.000000000000000000e+00
2.808333333333333570e+00,1.764527873766267163e+01,-8.279476165771484375e-01,1.000000000000000000e+00
2.816666666666666874e+00,1.769763861522250181e+01,-8.438974618911743164e-01,9.999998807907104492e-01
2.825000000000000178e+00,1.774999849278233199e+01,-8.593788146972656250e-01,9.999999403953552246e-01
2.833333333333333037e+00,1.780235837034215862e+01,-8.743078112602233887e-01,1.000000000000000000e+00
2.841666666666666341e+00,1.785471824790198880e+01,-8.884641528129577637e-01,1.000000000000000000e+00
2.849999999999999645e+00,1.790707812546181898e+01,-9.015052914619445801e-01,1.000000000000000000e+00
2.858333333333332948e+00,1.795943800302164917e+01,-9.131593704223632812e-01,1.000000119209289551e+00
2.866666666666666696e+00,1.801179788058147935e+01,-9.233791232109069824e-01,1.000000000000000000e+00
2.875000000000000000e+00,1.806415775814130953e+01,-9.323162436485290527e-01,9.999999403953552246e-01
2.883333333333333304e+00,1.811651763570113971e+01,-9.402071833610534668e-01,1.000000000000000000e+00
2.891666666666666607e+00,1.816887751326096989e+01,-9.472724795341491699e-01,1.000000000000000000e+00
