t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
2.327500000000000213e+01,1.462411380246048793e+02,-7.154644727706909180e-01,-7.164927124977111816e-01,1.000020146369934082e+00,9.989705681800842285e-01
2.328750000000000142e+01,1.463196778409446210e+02,-5.104975700378417969e-01,-5.137187838554382324e-01,1.000020146369934082e+00,9.989702701568603516e-01
2.330000000000000071e+01,1.463982176572843628e+02,-4.284529983997344971e-01,-4.298598468303680420e-01,1.000020265579223633e+00,9.989697933197021484e-01
2.331250000000000000e+01,1.464767574736241045e+02,-5.634691119194030762e-01,-5.612578988075256348e-01,1.000020265579223633e+00,9.989692568778991699e-01
2.332499999999999929e+01,1.465552972899638462e+02,-6.777027249336242676e-01,-6.755635738372802734e-01,1.000020265579223633e+00,9.989685416221618652e-01
2.333749999999999858e+01,1.466338371063035879e+02,-5.280488133430480957e-01,-5.299215316772460938e-01,1.000020265579223633e+00,9.989677667617797852e-01
2.334999999999999787e+01,1.467123769226433296e+02,-2.879859805107116699e-01,-2.913175523281097412e-01,1.000020265579223633e+00,9.989669322967529297e-01
2.336249999999999716e+01,1.467909167389830714e+02,-3.123168349266052246e-01,-3.117331862449645996e-01,1.000020265579223633e+00,9.989659190177917480e-01
2.337500000000000355e+01,1.468694565553228415e+02,-5.146193504333496094e-01,-5.113885402679443359e-01,1.000020265579223633e+00,9.989648461341857910e-01
2.338750000000000284e+01,1.469479963716625832e+02,-4.663939774036407471e-01,-4.667575359344482422e-01,1.000020384788513184e+00,9.989636540412902832e-01
2.340000000000000213e+01,1.470265361880023249e+02,-1.764645278453826904e-01,-1.801850050687789917e-01,1.000020384788513184e+00,9.989624619483947754e-01
2.341250000000000142e+01,1.471050760043420667e+02,-1.229336187243461609e-01,-1.232149899005889893e-01,1.000020384788513184e+00,9.989610314369201660e-01
2.342500000000000071e+01,1.471836158206818084e+02,-3.492874503135681152e-01,-3.457596004009246826e-01,1.000020384788513184e+00,9.989596605300903320e-01
2.343750000000000000e+01,1.472621556370215501e+02,-3.402647972106933594e-01,-3.401252627372741699e-01,1.000020503997802734e+00,9.989581108093261719e-01
2.344999999999999929e+01,1.473406954533612918e+02,-3.090684115886688232e-02,-3.469929099082946777e-02,1.000020503997802734e+00,9.989565610885620117e-01
2.346249999999999858e+01,1.474192352697010335e+02,3.315563127398490906e-02,3.294609114527702332e-02,1.000020503997802734e+00,9.989548921585083008e-01
